raw_character_text,spoken_words
Homer Simpson,Holy-moly... talk about parenting!
Homer Simpson,Uh oh.
Homer Simpson,"Sleep well, Maggie. Ah, three for three."
Marge Simpson,"Homie, did you straighten everything out...?"
Homer Simpson,"Up... up... up... up... up... up. Don't say anything, Marge. Let's just go to bed. I'm on the biggest roll of my life."
,
Homer Simpson,Mmm... hors doovers.
Marge Simpson,Homer! You promised!
Homer Simpson,I promised I wouldn't eat? Never! You lie!
Marge Simpson,"Homer, please. We've never thrown a party. Now we're gonna pay back all the friends who've invited us to their homes."
Lisa Simpson,"But Mom, I want to hear the witty banter of sophisticated adults."
Bart Simpson,"Yeah, you can't have any fun in bed."
Homer Simpson,"Oh son, when you're older, you'll know better."
Homer Simpson,"Hmmm. Oh, baby! Mmmm. Yeah."
Marge Simpson,Oh! They're here! How does everything look?
Homer Simpson,How do I look?
Marge Simpson,Do we have enough glasses?
Homer Simpson,Do we have enough gag ice cubs?
Marge Simpson,Homer! Homer! Put a record on!
Homer Simpson,What are all our friends names again?
Marge Simpson,Children! Go!
Ned Flanders,"Hey, anybody mind if I serve as bartender? You know, I have a Ph.D in Mixology."
Moe Szyslak,College boy.
Ned Flanders,"Hey, Homer! Care to try some of my Flanders Planters punch?"
Homer Simpson,Why not? I paid for it.
Homer Simpson,"Hey, Flanders, next time why don't you put a little alcohol in it?"
Ned Flanders,"Au contraire, Simpson! It has three shots of rum, a jigger of bourbon and just little dab-a-roo of creme de cassis for flavor."
Homer Simpson,Really? Well I do have a warm sense of well-being and I seem to be ssslurring my shpeech... you're right! Give me another.
Marge Simpson,"Now, Homer, go easy on the al-ky-hol. Remember last year at the Winfield's party when you threw up in the laundry hamper?"
Homer Simpson,No.
Marge Simpson,
,
,
Barney Gumble,"Hi! You're Homer's sister-in-law, right? I remember you, but I don't remember you being so beau --tiful."
Barney Gumble,Ow! Hey! Jeez!
Barney Gumble,Is that a new kind of Mace? It's really painful.
Homer Simpson,"Oh, Dr. Hibbert. Enjoying the party?"
Dr. Julius Hibbert,"Uh, no, not really. Someone seems to have slipped one of those novelty ice cubes with a fake fly in my drink."
Homer Simpson,It was me! You fell for it!
Dr. Julius Hibbert,"Homer, these novelty ice cubes are often made from highly toxic chemicals. Ironically, a real fly would have been much more sanitary."
Bart Simpson,Please Dad.
Homer Simpson,You should see the look on your face. It's priceless.
Homer Simpson,Bart! Come over here.
Bart Simpson,What?
Homer Simpson,"You little monkey... you're a little monkey, aren't you?"
Bart Simpson,Yes sir.
Homer Simpson,"Bart, do that thing you do that's so cute."
Bart Simpson,What?
Homer Simpson,That thing you know how to do.
Bart Simpson,What?
Homer Simpson,Go to bed.
Homer Simpson,"Hey, everybody! Look, I'm the funniest guy in the world!"
Barney Gumble,"Oh, Homer, you're the king!"
Homer Simpson,"I've been wantin' to tell you off for years, but I've never had the nerve."
Husband Of Marge's Friend,"Homer, I don't know you. My wife and your wife are friends. We met just three hours ago."
Homer Simpson,You stink! You and your whole lousy operation stinks! I quit!
Husband Of Marge's Friend,"Uh, gee Homer, don't quit..."
Homer Simpson,All right then.
Homer Simpson,Could you... give me a handful of peanuts... Maude?
Maude Flanders,Oh sure.
Homer Simpson,Not those peanuts. The ones at the bottom.
Homer Simpson,
Marge Simpson,
Barney Gumble,"Hey, thanks for invitin' me. I had a wonderful time."
Marge Simpson,I must apologize for my husband.
Dr. Julius Hibbert,"If you want him to live through the night, I suggest you roll him onto his side."
Marge Simpson,"Hmmm. thank you. I will, Dr. Hibbert. Thanks for coming."
Dr. Julius Hibbert,"Remember, I said if."
Marge Simpson,I have never been so embarrassed in my life.
Homer Simpson,Why? What'd you do?
Homer Simpson,Marge!
Marge Simpson,Come here!
Homer Simpson,Where-where are we going?
Marge Simpson,Shhh.
,
Marge Simpson,"I want to make sure the kids don't hear. When I was young, I always hated knowing my parents were fighting."
,
Bart Simpson,They're fighting in the car again.
Lisa Simpson,That music always sends a chill down my spine.
,
Marge Simpson,"Homer, do you remember the way you acted at the party last night?"
Homer Simpson,The way I acted?
,
Homer Simpson,So I said: I must get out of these wet clothes and into a dry martini.
Sophisticate #1,Good lord! There's a fly in my drink!
Homer Simpson,I put it there.
Sophisticate #1,You did?
Homer Simpson,I slipped it into your glass as a gag.
Sophisticate #1,Pure hilarity!
Sophisticate #2,Pure Homer!
Sophisticate #3,I pronounce it to be the most whimsical jape of the season!
,
Marge Simpson,"Homer, I like to think that I'm a patient, tolerant woman, and that there was no line you could cross that could make me stop loving you. But last night, you didn't just cross that line, you threw up on it!"
Homer Simpson,"I'm sorry, honey. Can't we just forget it and go to church."
Marge Simpson,I'm going to church alone today. You're going to stay here and explain to Bart why you scarred him for life.
Homer Simpson,"No, I didn't... I... Oh, you mean inside, don't you?"
,
Homer Simpson,About last night... you might have noticed Daddy acting a little strange and you probably don't understand why.
Bart Simpson,I understand why. You were wasted.
Homer Simpson,I admit it. I didn't know when to say when. I'm sorry it happened and I just hope you didn't lose a lot of respect for me.
Bart Simpson,"Dad, I have as much respect for you as I ever did or ever will."
Homer Simpson,Aw.
,
Rev. Timothy Lovejoy,"Now before I give you all a sneak preview of next week's sermon, I have some announcements to make. We have some new pamphlets available in our church newsrack including ""Bible Bafflers"", ""Satan's Boners,"" ""Good Grief! More Satan's Boners"" and, for the teens, ""It's Not Cool To Fry In Hell."""
Homer Simpson,"Marge, Marge."
Rev. Timothy Lovejoy,I'm sorry. The Lord and I can't compete with the squeaking of Homer Simpson's shoes. Why don't we just put everything on hold until he takes a seat?
Homer Simpson,"Sorry, Reverend."
Rev. Timothy Lovejoy,"Sit down, Homer."
Rev. Timothy Lovejoy,Mrs. Lovejoy and myself will be holding our third annual marriage retreat next weekend at Catfish Lake. It's psychological counseling for couples whose marriages are hanging by a thread...
Marge Simpson,
Rev. Timothy Lovejoy,... or those just in need of a tune-up.
Homer Simpson,Hmmmm.
Rev. Timothy Lovejoy,"Now if you wish to participate, please sign up on your way out after the service is over."
,
Rev. Timothy Lovejoy,Will the Simpsons be attending our little retreat?
Homer Simpson,"Oh, well, it's very tempting. Really a wonderful idea."
Homer Simpson,Marge! What are you doing? Are you insane?!
Marge Simpson,We'll be there!
Homer Simpson,
,
Homer Simpson,"Marriage encounter weekend, here I come!"
Bart Simpson,Now you wanna go?
Homer Simpson,They're holding it at Catfish Lake. They couldn't call it Catfish Lake if it didn't have a catfish in it.
Marge Simpson,We're going to this retreat to give our marriage a tune-up and that's all. No fishing.
Marge Simpson,"Oh, that must be the babysitter."
Marge Simpson,Hello. I'm Mrs. Simpson.
Sultan,Simpson... Simpson...
Bart Simpson,"Come back for more, eh?"
Marge Simpson,Oh my. Where are we supposed to get a sitter on such short notice?
Homer Simpson,"Oh dear. If we can't find a babysitter, we can't go. What a kick in the teeth."
Bart Simpson,What do you need a babysitter for? I'm almost ten and a half.
Lisa Simpson,Mom! You wouldn't dare.
Bart Simpson,"Don't take that tone with me, young lady, or I'll give you a taste of the back of me hand."
Homer Simpson,"No, you don't!"
Marge Simpson,Grampa?
Grampa Simpson,Huh... who?... what?
Marge Simpson,"Grampa, could you do something?"
Grampa Simpson,I can dress myself.
Marge Simpson,"Well, I was wondering. Do you think you could babysit the kids this weekend? I wouldn't ask, except I'm desperate."
Grampa Simpson,"Oh sure. Last resort... Old Grampa, the feeb. The guy who can't be counted on for nothing, no how, dagnabit. Everyone's agin me. I'll do it."
Homer Simpson,"Marge, just puttin' a few last things in the trunk."
Marge Simpson,"Now, if Maggie runs a fever, you call this number. If she sticks her finger in an electrical socket, call this number. And if she drinks pine cleanser, call this..."
Grampa Simpson,Just give me the list. I can read.
Marge Simpson,"All right. All right. Goodbye, children. And behave yourselves."
Marge Simpson,Call this number if Grampa falls in the bathtub.
Grampa Simpson,I heard that.
Bart Simpson,"Grampa, Mom was in such a hurry, she forgot to give you this. It's a list of the things Lisa and I can and can't do."
Grampa Simpson,Uh huh .. Uh-huh... You're allowed smoke cigars?
,
Homer Simpson,"Hmmm, bait."
,
Homer Simpson,"Whoa, better get some gas."
Homer Simpson,Fill 'er up. I guess I'll go and stretch my legs.
,
Worm Man,Where ya headed?
Homer Simpson,Catfish Lake.
Worm Man,"Oh, after General Sherman, are ya?"
Homer Simpson,"Wait, wait a minute... wait a minute. Who's General Sherman?"
Worm Man,He's only the biggest catfish in these parts...
Homer Simpson,Oh yeah.
Worm Man,... they say he weighs upwards of five hundred pounds.
Homer Simpson,"Whoa, who says that?"
Worm Man,They do.
Homer Simpson,Oh.
Worm Man,"Now, that there's the only known picture of the General. Can't see what he is, exactly. He's freakishly big, though."
Homer Simpson,Hmmmm. Gentlemen: I am going to catch General Sherman!
,
Bart Simpson,"After the supermarket, we'll go to the video store, grab a Krusty Burger and head for the arcade."
Lisa Simpson,"Bart, Grampa's a kindly old man who trusts us. Are you sure it's right to take advantage of him?"
Bart Simpson,"Lis, in these crazy, topsy-turvy times, who's to say what's right or wrong? But right now my gut's telling me... Bleed Gramps dry."
,
,
Rev. Timothy Lovejoy,"Ah, Mr. and Mrs. Simpson. Welcome!"
Marge Simpson,"Hello, Reverend. We're glad we could come. Oh, hello Helen."
HELEN,Hel-lo Marge!
Ned Flanders,"Why, Homer Simpson! Here to give your marriage a little spit shine?"
Homer Simpson,"None of your business, Flanders."
Homer Simpson,Uh say... uh... Reverend... are we gonna get a chance to do any fishing?
Rev. Timothy Lovejoy,"Oh, I'm afraid not. A marriage can't be reconciled in a few hours, Homer. It takes a whole weekend to do that."
Homer Simpson,Oh.
Rev. Timothy Lovejoy,We must bait our hooks with honesty. That way a happy marriage won't be the one that got away.
Homer Simpson,I see. I also understand bowling expressions.
Rev. Timothy Lovejoy,"Ah, three couples... our best turnout yet. Why don't we go around the room and everyone can introduce themselves and tell us a little bit about why they're here. John... Gloria?"
Gloria,"My name's Gloria. I'm here because Johnny boy hasn't been able to cut it, manwise, for some time. Not that I'd want his odor of gin and sour defeat pressed against me."
John,"That's enough, Gloria!"
Rev. Timothy Lovejoy,"Thank you, Gloria. John, why don't you tell us a little about why you're here?"
John,"She never cooks, she keeps a filthy house and she talks profanely. She's the Queen of the Harpies."
Gloria,"No, I'm not!"
John,Queen of the Harpies!
Gloria,"No, I'm not!"
John,"Here's your crown, your Majesty."
Gloria,"Get away from me, swine."
John,Queen of the Harpies!
Rev. Timothy Lovejoy,"You've come to the right place. First, I want you to look into each other's eyes."
John,Your eyes? I'd forgotten how beautiful they are.
Gloria,Let's never fight again.
John,We were fools to argue.
Gloria,Let's not talk about that.
John,Let's not talk at all.
Rev. Timothy Lovejoy,"Remember my saving your lives and bringing you happiness when we pass the collection plate next week. All right. Ned, Maude, what brings you here?"
Ned Flanders,Well...
Maude Flanders,"Go on, Neddie."
Ned Flanders,"Sometimes Maude, God bless her, she underlines passages in my Bible because she can't find hers."
Homer Simpson,Lucky you don't keep guns in the house.
Rev. Timothy Lovejoy,"Homer, why are you here?"
Homer Simpson,"Ohhh, because I got drunk and looked down her dress."
Rev. Timothy Lovejoy,"No, no, Homer. Marge is going to tell us all your faults. Why don't you tell us about hers?"
Homer Simpson,She's perfect.
Rev. Timothy Lovejoy,"Come on, Homer. What are her faults?"
Homer Simpson,"Well, sometimes that can be annoying."
Marge Simpson,"Oh, Homer."
Rev. Timothy Lovejoy,"Now, Marge. Don't interrupt. You'll get your turn."
Homer Simpson,I'm done.
Rev. Timothy Lovejoy,Okay. Marge?
Marge Simpson,"Well, it's not that I don't love the guy. I'm always sticking up for him. It's just that he's so self-centered."
Rev. Timothy Lovejoy,"Now, Homer."
Marge Simpson,"He forgets birthdays, anniversaries, holidays -- both religious and secular -- he chews with his mouth open, he gambles, he hangs out at a seedy bar with bums and lowlifes..."
Homer Simpson,It's true. It's all true.
Rev. Timothy Lovejoy,"Homer, don't interrupt."
Homer Simpson,Sorry.
Marge Simpson,"He blows his nose on the towels, and puts them back in the middle..."
Homer Simpson,I only did that a couple of times.
,
Lisa Simpson,Half a gallon of chocolate.
Bart Simpson,Check.
Lisa Simpson,Half a gallon of chocolate brownie fudge.
Bart Simpson,Check.
Lisa Simpson,"Half a gallon of chocolate, chocolate, chocolate, chocolate chip."
Bart Simpson,Check.
Grampa Simpson,Did your Mom really write that shopping list?
Lisa Simpson,"Grampa, what a question?"
Bart Simpson,"What's next, Lis?"
Lisa Simpson,Sprinkles and syrup.
Bart Simpson,"Hey, Grampa. Aisle six and step on it."
Grampa Simpson,"Well, all right, but put out that cigar."
,
Marge Simpson,"... He drinks out of the carton. He never changes the baby. When he goes to sleep, he makes chewing noises and when he wakes up he makes honking noises. Oh... oh... and he scratches himself with his keys. I guess that's it. Oh no. Wait. He kicks me in his sleep and his toenails are too long and yellow. That's all I can think of right now. I guess you're all tired and I want to thank you for letting me get some things off my chest."
Rev. Timothy Lovejoy,"Well, we've missed the luau. What say we call it a night?"
,
Captain,"I don't want to hear it, McBain. That cannon of yours is against regulations. In this department we go by the book."
Grampa Simpson,"You know, kids, it's gettin' pretty late."
Bart Simpson,"Yeah, you should go to bed, Grampa. We've had a big day."
Lisa Simpson,It's no use kidding myself. I'm having an ethical crisis.
,
Homer Simpson,"Out at five, catch General Sherman at five-thirty, clean him at six, eat him at six-thirty, back in bed by seven with no incriminating evidence. . The perfect crime."
Marge Simpson,"Homer, you're sneaking out to go fishing? I can't believe your selfishness. You can go fishing anytime, but we're here trying to save our marriage. You're thinking about fishing, even when I'm talking... right now. Right?"
Homer Simpson,Would this be a good time to be honest?
Marge Simpson,Yes.
Homer Simpson,"You're right, I am. Help me, Marge. What do I do to be a good guy?"
Marge Simpson,Get back in bed.
Homer Simpson,No.
Homer Simpson,All right. But I can't sleep. Can I take a walk?
Marge Simpson,Sure.
,
Homer Simpson,Gotta be a good husband... Gotta be a good husband... Gotta be a good husband.
Homer Simpson,"Hey, kid! You forgot your... WHOA!"
,
Homer Simpson,"Go ahead, General Sherman! Waste your strength, you big ugly catfish. I gotta skillet and a stick of butter with your name on it."
,
Marge Simpson,Homer?
,
Grampa Simpson,Sugar?
Lisa Simpson,Yes. Ten please.
Bart Simpson,"Hey Grampa, top me off."
Grampa Simpson,Are you sure your ma lets you kids drink coffee?
Bart Simpson,"For the last time, yes!"
,
Homer Simpson,Good! Give up!
Homer Simpson,Huh?
Homer Simpson,
,
Bart Simpson,"Hey, Milhouse. Big blowout at Casa de Simpson. The only adult is frail and old."
,
Milhouse Van Houten,"Bart's joint. Uh, twoish. Be there or be square."
,
Otto Mann,"Tell my friends? All right, but I've got some pretty funky friends."
,
Convict,All right! I get out at noon and I'm already invited to a party.
,
Helen Lovejoy,"Now, this is a trust exercise. You fall backwards and rely on your spouse to catch you."
Marge Simpson,Do I have to do this?
Rev. Timothy Lovejoy,"No. Even if your husband were here, I wouldn't recommend it. Marge, as a trained marriage counselor, this is the first instance where I've ever told one partner that they were 100 percent right. It's all his fault, and I'm willing to put that in a certificate you can frame."
,
Grampa Simpson,Over there / Send the word / Send the word / Over there.
Grampa Simpson,That the Yanks are comin'...
,
Homer Simpson,"Okay, fish, you're probably wondering why I'm still here. Catching you will make me the most famous fisherman there is, right up there with... that... the a... bald guy on that cable fishing show."
Homer Simpson,Whoa! Holy mackerel!
,
Bart Simpson,"Milhouse, good to see you, pal. What's happening, man?"
Otto Mann,"Cherry party, Bart. Any chicks over eight?"
Bart Simpson,"Not yet, but the afternoon is young."
Bart Simpson,"Lisa, what's wrong?"
Lisa Simpson,Isn't it obvious? We've degraded ourselves and set back the children's rights movement for decades to come.
Bart Simpson,"You're great at a party, Lisa. Really great."
Grampa Simpson,"Hey you, no, shut that door! Stop it! Put that away! No, stop, oh!"
Grampa Simpson,OW!
Nelson Muntz,Haw haw haw!
Grampa Simpson,"You young hellion, do you want me to take off my belt?"
Nelson Muntz,Yeah.
Grampa Simpson,All right. I'll show you.
Nelson Muntz,Haw! Haw! Haw!
Grampa Simpson,Doggone it!
,
Homer Simpson,"I love you, but I must kill you."
,
Bart Simpson,"Yeah, take care, man. Hey, thanks for coming. Hey, nice tie, Nelson.."
Nelson Muntz,"Ah, thanks, it's your dad's."
Grampa Simpson,"I tried to be a good baby-sitter, but I failed! I'm a feeb... a useless old... worn-out..."
Bart Simpson,"Lisa, I have this strong unpleasant feeling I've never had before."
Lisa Simpson,"It's called remorse, you vile burlesque of irrepressible youth."
Bart Simpson,"Well, how do you make this feeling go away?"
Lisa Simpson,You grab a bucket and a brush and clean harder and faster than you ever have before.
,
Homer Simpson,I AM THE CHAMPIONS / I AM THE CHAMPIONS / NO TIME FOR LOSERS / CAUSE I AM THE CHAMPIONS / OF THE WORLLLLD!
Homer Simpson,"Uh, oh."
Homer Simpson,"Hi, honey. Uh, oh. How's the marriage retreat going?"
Bart Simpson,Please Dad.
Marge Simpson,"We came to this retreat because I thought our marriage was in trouble, but I never for a minute thought it was in this much trouble. Homer, how can you expect me to believe...."
Homer Simpson,"Marge, you don't know what this fish means. This fish represents a better life for both of us. This fish makes me a champion and a hero."
Marge Simpson,To who?
Homer Simpson,To those weirdos in the worm store.
Marge Simpson,All this fish represents is just how selfish you are.
Homer Simpson,"Well, if that's the way you feel... I'll throw it back."
Marge Simpson,"Oh yeah, sure."
Homer Simpson,Watch.
Homer Simpson,"Wow, I did it! I gave up fame and breakfast for my marriage. I fought it for six hours. She says one word and I toss it back. And you're telling me our marriage is in trouble? Come here, baby."
Marge Simpson,"Ohhh, Homer."
,
Homer Simpson,We're back!
Lisa Simpson,How's your marriage?
Homer Simpson,Same as usual. Perfectomundo.
Marge Simpson,"Oh my, the house looks wonderful. Grampa, what's your secret?"
Grampa Simpson,"Pretending to cry. That's right, you heard me. Pretending to cry. I can turn it on and off like a fawcet. Boo-hoo, Oh, I'm crying, I'm so sad."
Lisa Simpson,"Way to go, Grampa."
Bart Simpson,I'll never trust another old person.
Grampa Simpson,I fooled you. So long suckers. Hee hee hee.
,
Worm Man,"Yup. General Sherman. They say he's 500 pounds of bottom-dwelling fury, don't you know? No one knows how old he is, but if you ask me, and most people do, he's a hundred years if he's a day."
Customer,"And uh, no one's ever caught him?"
Worm Man,"Well, one fella came close. Went by the name of Homer. Seven feet tall he was, with arms like tree trunks. And his eyes were like steel, cold and hard. Had a shock of hair, red, like the fires of hell."
,
Lisa Simpson,"Hurry, Mom! If we don't get to the convention soon, all the good comics will be gone."
Bart Simpson,Wow! Number nine! That's before Fallout Boy became his ward.
Bart Simpson,What do you care about good comics? All you ever buy is Casper the Wimpy Ghost.
Lisa Simpson,"I think it's sad that you equate friendliness from wimpiness, and I hope it will keep you from ever achieving true popularity."
Bart Simpson,"Well, you know what I think? I think Casper's the ghost of Richie Rich."
Lisa Simpson,"Hey, they do look alike!"
Bart Simpson,I wonder how Richie died?
Lisa Simpson,"Perhaps he realized how hollow the pursuit of money is, and took his own life."
Marge Simpson,"Kids, could you lighten up a little?"
Bart Simpson,"Now, Radioactive Man: He rules! Never punches a bad guy without saying something cool."
Lisa Simpson,He's no wittier than the next superhero.
Bart Simpson,"Oh, yeah? Look. He knocks a guy into the sun and says, ""Hot enough for ya?"""
Lisa Simpson,I stand corrected.
Marge Simpson,We're here!
,
,
Lisa Simpson,Too bad we didn't come dressed as popular cartoon characters.
Bart Simpson,This looks like a discount for...
Bart Simpson,Bartman!
Ticket Seller,Who are you supposed to be?
Bart Simpson,I'm Bartman!
Ticket Seller,Never heard of him. Full price.
Bart Simpson,Lousy rip off...
DIAMOND JOE,"Is uh, this on?... Ahem, young people of Springfield: As your Mayor, I'd like to welcome you to our annual funny book convention, and thank you for pumping almost three hundred dollars into the local economy."
DIAMOND JOE,Your youthful high spirits have imparted a glow to this old war-horse. You might say I feel like Radiation Man!
Jimbo Jones,"That's Radioactive Man, jerk!"
DIAMOND JOE,"I stand corrected... Well, have fun and be sure to clear out by six for the Shriners. Get that punk's name. No one makes a fool out of Diamond Joe Quimby."
Martin Prince,"Excuse me, sir. Has anyone turned in a left Vulcan ear?"
Bart Simpson,Please Dad.
Lost And Found Guy,"Let's see, we've got a utility belt, a couple of tricorders, a light saber... Sorry, kid."
Otto Mann,"Hey, Bart-dude!"
Bart Simpson,"Hey, Otto-man! Oooh, what's that?"
Otto Mann,"My very own idea for a comic book, little man. It's about a dude who drives a school bus by day, but by night, fights vampires in a post-apocalyptic warzone!"
Bart Simpson,Cool!
Milhouse Van Houten,"C'mon, Bart. We're going to see Buddy Hodges."
Bart Simpson,The guy who played Fallout Boy on TV?
Milhouse Van Houten,Yep.
Bart Simpson,"Wow, I guess he wasn't killed in Vietnam."
Radioactive Man,Aaahh... These Laramie cigarettes give me the steady nerves I need to combat evil.
Fallout Boy,"Gee whillikers, Radioactive Man. Wisht I was old enough to smoke Laramies."
Radioactive Man,"Sorry, Fallout Boy, not until you're sixteen."
Radioactive Man,Look out!
Announcer,Will Radioactive Man act in time to save the earth?
Convention Director,"Well, wasn't that great?... Y'know, kids, I'm sure we'd all like to remember actor Dirk Richter for his portrayal of Radioactive Man, and not the sordid details of his final years, so let's keep the questions tasteful, okay? Now how about a big welcome for Buddy ""Fallout Boy"" Hodges!"
BUDDY,Any questions?
Milhouse Van Houten,"When Radioactive Man got injected with shrinking serum in issue two-thirty-four, how come his costume shrinks, too?"
BUDDY,"I am sure I don't know. But I did just finish playing Rum Tum Tugger in the second national touring company of ""Cats"" -- anybody see it?"
Bart Simpson,"Ooh. Ooh. Ooh. Ooh. Over here, Fallout Boy! Oh, oh, me... me... me... me, me."
BUDDY,"Yes, you, the masked boy."
Bart Simpson,Do you think the ghost of Dirk Richter haunts the bordello where his bullet-riddled body was found?
BUDDY,Dirk Richter was a beautiful man. Can't you little vultures leave him alone?
Nelson Muntz,"Hey, Radioactive Man number seventy-two! It's the imaginary tale where Radioactive Man marries Larva Girl."
Dealer,Tell you what. I'll show you something very special if you promise to put your grubby little hands behind your back and keep 'em there.
Dealer,Behold!
Bart Simpson,Wow. Radioactive Man Number One.
Dealer,None other.
Bart Simpson,I bet it's worth a million bucks!
